# dist  px py pz    dx dy dz
1 3 7.8910e+00  0.000 0.000 75.900  -5.894 4.890 -1.900
3 5 2.5577e+01  -5.894 4.890 74.000  -19.106 15.850 -6.158
5 1 1.3387e+01  -25.000 20.740 67.842  -10.000 8.296 -3.223
1 3 1.9327e+00  0.000 0.000 75.900  0.252 -0.249 -1.900
3 5 1.2715e+01  0.252 -0.249 74.000  1.657 -1.639 -12.500
5 9 1.1698e+01  1.908 -1.888 61.500  1.524 -1.508 -11.500
9 17 2.6956e+01  3.433 -3.395 50.000  3.512 -3.474 -26.500
17 97 5.0861e+00  6.945 -6.869 23.500  0.663 -0.655 -5.000
97 64 1.8819e+01  7.607 -7.525 18.500  2.452 -2.425 -18.500
1 1 1.9127e-01  0.000 0.000 75.900  0.124 -0.106 0.100
1 3 3.4285e+00  0.000 0.000 75.900  0.705 -2.766 -1.900
3 5 2.2556e+01  0.705 -2.766 74.000  4.637 -18.194 -12.500
5 1 1.7407e+01  5.342 -20.960 61.500  3.579 -14.040 -9.646
1 1 1.2794e-01  0.000 0.000 75.900  0.062 -0.050 0.100
1 1 1.9221e-01  0.000 0.000 75.900  -0.062 -0.152 0.100
1 1 2.8362e-01  0.000 0.000 75.900  0.082 0.252 0.100
1 3 2.8560e+00  0.000 0.000 75.900  1.990 0.767 -1.900
3 5 1.8789e+01  1.990 0.767 74.000  13.089 5.045 -12.500
5 9 1.2806e+01  15.079 5.812 61.500  8.921 3.438 -8.519
9 1 1.5790e+01  24.000 9.250 52.981  11.000 4.240 -10.505
1 3 2.3986e+00  0.000 0.000 75.900  1.449 -0.208 -1.900
3 5 1.5781e+01  1.449 -0.208 74.000  9.534 -1.368 -12.500
5 9 1.4518e+01  10.984 -1.576 61.500  8.772 -1.259 -11.500
9 17 2.3577e+01  19.755 -2.835 50.000  14.245 -2.044 -18.676
17 1 1.6551e+00  34.000 -4.879 31.324  1.000 -0.143 -1.311
1 3 6.0254e+00  0.000 0.000 75.900  4.015 4.071 -1.900
3 5 3.0973e+01  4.015 4.071 74.000  20.638 20.929 -9.767
5 1 1.4799e+01  24.653 25.000 64.233  9.861 10.000 -4.667
1 3 1.9882e+00  0.000 0.000 75.900  0.422 -0.406 -1.900
3 5 1.3080e+01  0.422 -0.406 74.000  2.775 -2.673 -12.500
5 9 1.2034e+01  3.197 -3.079 61.500  2.553 -2.459 -11.500
9 17 2.7730e+01  5.750 -5.538 50.000  5.883 -5.667 -26.500
17 97 5.2322e+00  11.633 -11.205 23.500  1.110 -1.069 -5.000
97 64 1.9359e+01  12.743 -12.274 18.500  4.107 -3.956 -18.500
1 1 1.0152e-01  0.000 0.000 75.900  -0.014 0.011 0.100
1 1 1.3227e-01  0.000 0.000 75.900  0.022 0.084 0.100
1 3 2.4205e+00  0.000 0.000 75.900  -0.758 -1.294 -1.900
3 5 1.5924e+01  -0.758 -1.294 74.000  -4.986 -8.512 -12.500
5 9 1.4650e+01  -5.744 -9.806 61.500  -4.587 -7.831 -11.500
9 17 3.0608e+01  -10.332 -17.638 50.000  -9.584 -16.362 -24.027
17 1 1.8707e+00  -19.916 -34.000 25.973  -0.586 -1.000 -1.468
1 1 1.0472e-01  0.000 0.000 75.900  -0.031 0.005 0.100
1 3 2.9126e+00  0.000 0.000 75.900  -0.194 -2.199 -1.900
3 5 1.9162e+01  -0.194 -2.199 74.000  -1.276 -14.468 -12.500
5 1 2.4282e+01  -1.470 -16.667 61.500  -1.617 -18.333 -15.840
1 1 1.5023e-01  0.000 0.000 75.900  -0.045 -0.103 0.100
1 3 2.1322e+00  0.000 0.000 75.900  -0.698 -0.670 -1.900
3 5 1.4027e+01  -0.698 -0.670 74.000  -4.592 -4.408 -12.500
5 9 1.2905e+01  -5.289 -5.078 61.500  -4.224 -4.056 -11.500
9 17 2.9738e+01  -9.514 -9.134 50.000  -9.734 -9.346 -26.500
17 97 5.6109e+00  -19.248 -18.480 23.500  -1.837 -1.763 -5.000
97 64 2.0760e+01  -21.084 -20.243 18.500  -6.795 -6.524 -18.500
1 3 2.2835e+00  0.000 0.000 75.900  1.262 -0.105 -1.900
3 5 1.5023e+01  1.262 -0.105 74.000  8.304 -0.688 -12.500
5 9 1.3821e+01  9.567 -0.793 61.500  7.640 -0.633 -11.500
9 17 3.0380e+01  17.207 -1.426 50.000  16.793 -1.392 -25.278
17 1 1.8090e+00  34.000 -2.819 24.722  1.000 -0.083 -1.505
1 3 9.6048e+00  0.000 0.000 75.900  7.056 -6.250 -1.845
3 5 2.4427e+01  7.056 -6.250 74.055  17.944 -15.895 -4.693
5 1 1.3613e+01  25.000 -22.145 69.362  10.000 -8.858 -2.615
1 3 2.3512e+00  0.000 0.000 75.900  0.260 1.360 -1.900
3 5 1.5468e+01  0.260 1.360 74.000  1.710 8.950 -12.500
5 9 1.4231e+01  1.970 10.310 61.500  1.573 8.234 -11.500
9 17 2.6713e+01  3.544 18.544 50.000  2.953 15.456 -21.587
17 1 1.7284e+00  6.497 34.000 28.413  0.191 1.000 -1.397
1 3 4.8363e+00  0.000 0.000 75.900  4.202 -1.456 -1.900
3 5 2.3935e+01  4.202 -1.456 74.000  20.798 -7.206 -9.403
5 1 1.1508e+01  25.000 -8.662 64.597  10.000 -3.465 -4.521
1 1 1.2268e-01  0.000 0.000 75.900  0.071 -0.008 0.100
1 3 6.5883e+00  0.000 0.000 75.900  -1.977 6.250 -0.661
3 1 3.0306e+01  -1.977 6.250 75.239  -9.092 28.750 -3.038
1 3 2.9366e+00  0.000 0.000 75.900  -1.682 -1.478 -1.900
3 5 1.9319e+01  -1.682 -1.478 74.000  -11.066 -9.723 -12.500
5 9 1.7774e+01  -12.748 -11.201 61.500  -10.181 -8.945 -11.500
9 17 1.9329e+01  -22.929 -20.146 50.000  -11.071 -9.728 -12.506
17 1 1.7459e+00  -34.000 -29.874 37.494  -1.000 -0.879 -1.130
1 3 6.9702e+00  0.000 0.000 75.900  2.942 6.250 -0.932
3 5 2.0911e+01  2.942 6.250 74.968  8.825 18.750 -2.796
5 1 1.1152e+01  11.766 25.000 72.172  4.707 10.000 -1.491
1 3 9.1460e+00  0.000 0.000 75.900  8.500 3.108 -1.319
3 5 1.7754e+01  8.500 3.108 74.581  16.500 6.033 -2.561
5 1 1.0760e+01  25.000 9.141 72.020  10.000 3.656 -1.552
1 3 8.6795e+00  0.000 0.000 75.900  -8.500 0.010 -1.756
3 5 1.6849e+01  -8.500 0.010 74.144  -16.500 0.019 -3.409
5 1 1.0211e+01  -25.000 0.029 70.735  -10.000 0.011 -2.066
1 1 6.9683e-01  0.000 0.000 75.900  -0.683 -0.097 0.100
1 1 1.1224e-01  0.000 0.000 75.900  -0.003 0.051 0.100
1 3 8.5880e+00  0.000 0.000 75.900  -8.500 -1.041 -0.647
3 1 2.6774e+01  -8.500 -1.041 75.253  -26.500 -3.247 -2.017
1 1 2.2892e-01  0.000 0.000 75.900  0.137 0.154 0.100
1 1 1.1626e-01  0.000 0.000 75.900  -0.047 -0.036 0.100
1 1 1.6498e+00  0.000 0.000 75.900  1.616 0.317 0.100
1 3 6.1434e+00  0.000 0.000 75.900  5.632 -1.554 -1.900
3 5 2.1128e+01  5.632 -1.554 74.000  19.368 -5.345 -6.534
5 1 1.0909e+01  25.000 -6.899 67.466  10.000 -2.760 -3.374
1 1 1.5526e+00  0.000 0.000 75.900  -1.245 -0.922 0.100
1 3 3.9969e+00  0.000 0.000 75.900  -1.869 -2.978 -1.900
3 5 2.6295e+01  -1.869 -2.978 74.000  -12.297 -19.595 -12.500
5 1 1.6676e+01  -14.166 -22.573 61.500  -7.799 -12.427 -7.927
1 3 2.2274e+00  0.000 0.000 75.900  0.951 0.669 -1.900
3 5 1.4654e+01  0.951 0.669 74.000  6.256 4.400 -12.500
5 9 1.3482e+01  7.207 5.069 61.500  5.755 4.048 -11.500
9 17 3.1067e+01  12.962 9.116 50.000  13.262 9.327 -26.500
17 65 5.8617e+00  26.225 18.444 23.500  2.502 1.760 -5.000
65 64 1.4929e+01  28.727 20.204 18.500  6.373 4.482 -12.734
1 3 9.2313e+00  0.000 0.000 75.900  -8.500 3.571 -0.463
3 1 2.8780e+01  -8.500 3.571 75.437  -26.500 11.133 -1.443
1 1 4.9740e-01  0.000 0.000 75.900  0.447 0.194 0.100
1 1 7.8160e-01  0.000 0.000 75.900  0.316 -0.708 0.100
1 3 2.4211e+00  0.000 0.000 75.900  1.429 0.457 -1.900
3 5 1.5928e+01  1.429 0.457 74.000  9.404 3.004 -12.500
5 9 1.4654e+01  10.834 3.461 61.500  8.652 2.764 -11.500
9 17 2.4584e+01  19.485 6.224 50.000  14.515 4.636 -19.293
17 1 1.6938e+00  34.000 10.861 30.707  1.000 0.319 -1.329
1 3 3.6845e+00  0.000 0.000 75.900  -2.322 -2.139 -1.900
3 5 2.4240e+01  -2.322 -2.139 74.000  -15.274 -14.074 -12.500
5 1 2.7623e+01  -17.595 -16.213 61.500  -17.405 -16.037 -14.244
1 3 6.8536e+00  0.000 0.000 75.900  6.479 -1.175 -1.900
3 5 1.9591e+01  6.479 -1.175 74.000  18.521 -3.360 -5.431
5 1 1.0578e+01  25.000 -4.535 68.569  10.000 -1.814 -2.932
1 3 1.0318e+01  0.000 0.000 75.900  8.500 -5.825 -0.520
3 1 3.2167e+01  8.500 -5.825 75.380  26.500 -18.162 -1.622
1 1 2.8033e-01  0.000 0.000 75.900  -0.255 -0.060 0.100
1 3 6.4629e+00  0.000 0.000 75.900  1.203 6.250 -1.123
3 5 1.9389e+01  1.203 6.250 74.777  3.608 18.750 -3.368
5 1 1.0341e+01  4.810 25.000 71.410  1.924 10.000 -1.796
1 1 1.7540e-01  0.000 0.000 75.900  0.059 0.132 0.100
1 3 4.0567e+00  0.000 0.000 75.900  1.628 3.193 -1.900
