# dist  px py pz    dx dy dz
1 3 3.9059e+00  0.000 0.000 75.900  2.782 1.976 -1.900
3 5 2.5697e+01  2.782 1.976 74.000  18.305 13.001 -12.500
5 1 1.9532e+01  21.087 14.977 61.500  13.913 9.882 -9.501
1 3 5.8237e+00  0.000 0.000 75.900  -3.803 -3.980 -1.900
3 5 3.0757e+01  -3.803 -3.980 74.000  -20.086 -21.020 -10.034
5 1 1.4632e+01  -23.889 -25.000 63.966  -9.556 -10.000 -4.774
1 3 2.0103e+00  0.000 0.000 75.900  -0.486 -0.442 -1.900
3 5 1.3226e+01  -0.486 -0.442 74.000  -3.196 -2.908 -12.500
5 9 1.2168e+01  -3.682 -3.351 61.500  -2.940 -2.676 -11.500
9 17 2.8039e+01  -6.622 -6.026 50.000  -6.775 -6.166 -26.500
17 97 5.2903e+00  -13.397 -12.192 23.500  -1.278 -1.163 -5.000
97 64 1.9574e+01  -14.675 -13.356 18.500  -4.730 -4.305 -18.500
1 3 2.2885e+00  0.000 0.000 75.900  0.573 -1.140 -1.900
3 5 1.5056e+01  0.573 -1.140 74.000  3.773 -7.497 -12.500
5 9 1.3852e+01  4.346 -8.637 61.500  3.471 -6.897 -11.500
9 17 3.1919e+01  7.817 -15.534 50.000  7.998 -15.894 -26.500
17 65 6.0225e+00  15.815 -31.428 23.500  1.509 -2.999 -5.000
65 64 1.3524e+00  17.324 -34.427 18.500  0.339 -0.673 -1.123
1 1 1.0334e-01  0.000 0.000 75.900  -0.022 0.014 0.100
1 1 2.6928e-01  0.000 0.000 75.900  -0.009 0.250 0.100
1 1 2.6324e-01  0.000 0.000 75.900  -0.242 -0.024 0.100
1 3 1.0650e+01  0.000 0.000 75.900  8.433 -6.250 -1.799
3 5 2.0922e+01  8.433 -6.250 74.101  16.567 -12.279 -3.535
5 1 1.2629e+01  25.000 -18.529 70.566  10.000 -7.411 -2.134
1 3 3.4977e+00  0.000 0.000 75.900  2.706 -1.141 -1.900
3 5 2.3011e+01  2.706 -1.141 74.000  17.801 -7.509 -12.500
5 1 1.8735e+01  20.507 -8.650 61.500  14.493 -6.113 -10.177
1 1 3.4110e-01  0.000 0.000 75.900  -0.176 0.274 0.100
1 3 4.2955e+00  0.000 0.000 75.900  -1.190 -3.664 -1.900
3 5 2.5012e+01  -1.190 -3.664 74.000  -6.927 -21.336 -11.063
5 1 1.1723e+01  -8.116 -25.000 62.937  -3.246 -10.000 -5.185
1 3 6.3398e+00  0.000 0.000 75.900  -0.784 -6.250 -0.718
3 1 2.9163e+01  -0.784 -6.250 75.182  -3.609 -28.750 -3.301
1 1 1.4250e-01  0.000 0.000 75.900  -0.063 -0.080 0.100
1 3 3.0313e+00  0.000 0.000 75.900  -1.353 -1.936 -1.900
3 5 1.9942e+01  -1.353 -1.936 74.000  -8.901 -12.736 -12.500
5 9 1.4605e+01  -10.254 -14.672 61.500  -6.519 -9.328 -9.154
9 1 1.7224e+01  -16.773 -24.000 52.346  -7.688 -11.000 -10.796
1 3 4.1308e+00  0.000 0.000 75.900  -3.066 -2.014 -1.900
3 5 2.7176e+01  -3.066 -2.014 74.000  -20.169 -13.248 -12.500
5 1 1.5853e+01  -23.235 -15.261 61.500  -11.765 -7.728 -7.292
1 3 2.3973e+00  0.000 0.000 75.900  -1.450 -0.183 -1.900
3 5 1.5772e+01  -1.450 -0.183 74.000  -9.542 -1.206 -12.500
5 9 1.4510e+01  -10.992 -1.390 61.500  -8.779 -1.110 -11.500
9 17 2.3519e+01  -19.771 -2.499 50.000  -14.229 -1.799 -18.640
17 1 1.6529e+00  -34.000 -4.298 31.360  -1.000 -0.126 -1.310
1 3 2.0784e+00  0.000 0.000 75.900  0.635 -0.554 -1.900
3 5 1.3674e+01  0.635 -0.554 74.000  4.175 -3.646 -12.500
5 9 1.2580e+01  4.809 -4.200 61.500  3.841 -3.354 -11.500
9 17 2.8988e+01  8.650 -7.555 50.000  8.851 -7.730 -26.500
17 97 5.4695e+00  17.501 -15.284 23.500  1.670 -1.458 -5.000
97 64 2.0237e+01  19.171 -16.743 18.500  6.179 -5.396 -18.500
1 1 1.2031e-01  0.000 0.000 75.900  0.066 -0.008 0.100
1 1 3.0422e-01  0.000 0.000 75.900  0.090 -0.273 0.100
1 1 1.9735e-01  0.000 0.000 75.900  0.163 0.048 0.100
1 3 7.4585e+00  0.000 0.000 75.900  7.154 -0.915 -1.900
3 5 1.8605e+01  7.154 -0.915 74.000  17.846 -2.283 -4.739
5 1 1.0425e+01  25.000 -3.198 69.261  10.000 -1.279 -2.656
1 3 2.4863e+00  0.000 0.000 75.900  -0.529 1.514 -1.900
3 5 1.6357e+01  -0.529 1.514 74.000  -3.483 9.959 -12.500
5 9 1.5049e+01  -4.012 11.473 61.500  -3.204 9.162 -11.500
9 17 2.1951e+01  -7.216 20.635 50.000  -4.674 13.365 -16.774
17 1 1.6425e+00  -11.890 34.000 33.226  -0.350 1.000 -1.255
1 3 5.8403e+00  0.000 0.000 75.900  -2.390 -4.979 -1.900
3 5 2.3486e+01  -2.390 -4.979 74.000  -9.611 -20.021 -7.641
5 1 1.1731e+01  -12.001 -25.000 66.359  -4.800 -10.000 -3.816
1 3 8.3215e+00  0.000 0.000 75.900  6.927 -4.201 -1.900
3 5 2.1711e+01  6.927 -4.201 74.000  18.073 -10.961 -4.957
5 1 1.2013e+01  25.000 -15.163 69.043  10.000 -6.065 -2.743
1 3 2.5856e+00  0.000 0.000 75.900  0.221 -1.740 -1.900
3 5 1.7010e+01  0.221 -1.740 74.000  1.457 -11.445 -12.500
5 9 1.5650e+01  1.678 -13.184 61.500  1.340 -10.529 -11.500
9 17 1.5289e+01  3.018 -23.714 50.000  1.309 -10.286 -11.235
17 1 1.4863e+00  4.327 -34.000 38.765  0.127 -1.000 -1.092
1 3 6.5017e+00  0.000 0.000 75.900  1.610 -6.250 -0.785
3 5 1.9505e+01  1.610 -6.250 75.115  4.830 -18.750 -2.356
5 1 1.0403e+01  6.441 -25.000 72.759  2.576 -10.000 -1.256
1 3 6.3473e+00  0.000 0.000 75.900  -0.714 -6.250 -0.846
3 5 1.9042e+01  -0.714 -6.250 75.054  -2.142 -18.750 -2.538
5 1 1.0156e+01  -2.856 -25.000 72.516  -1.142 -10.000 -1.353
1 3 7.5466e+00  0.000 0.000 75.900  7.112 -1.663 -1.900
3 5 1.8983e+01  7.112 -1.663 74.000  17.888 -4.184 -4.779
5 1 1.0612e+01  25.000 -5.847 69.221  10.000 -2.339 -2.672
1 3 3.8609e+00  0.000 0.000 75.900  -0.853 3.251 -1.900
3 5 2.5401e+01  -0.853 3.251 74.000  -5.615 21.387 -12.500
5 1 1.2306e+01  -6.468 24.638 61.500  -2.720 10.362 -6.056
1 1 3.7394e-01  0.000 0.000 75.900  -0.030 0.359 0.100
1 3 1.9905e+00  0.000 0.000 75.900  -0.584 0.107 -1.900
3 5 1.3095e+01  -0.584 0.107 74.000  -3.840 0.702 -12.500
5 9 1.2048e+01  -4.423 0.809 61.500  -3.532 0.646 -11.500
9 17 2.7762e+01  -7.956 1.455 50.000  -8.140 1.489 -26.500
17 97 5.2381e+00  -16.096 2.944 23.500  -1.536 0.281 -5.000
97 64 1.9381e+01  -17.632 3.225 18.500  -5.683 1.039 -18.500
1 3 6.8870e+00  0.000 0.000 75.900  -2.466 6.250 -1.512
3 5 2.0661e+01  -2.466 6.250 74.388  -7.398 18.750 -4.536
5 1 1.1019e+01  -9.864 25.000 69.852  -3.946 10.000 -2.419
1 1 1.8688e+00  0.000 0.000 75.900  1.673 -0.828 0.100
1 1 1.8242e-01  0.000 0.000 75.900  -0.051 -0.144 0.100
1 1 1.9771e-01  0.000 0.000 75.900  0.151 -0.079 0.100
1 3 2.2397e+00  0.000 0.000 75.900  0.976 -0.674 -1.900
3 5 1.4735e+01  0.976 -0.674 74.000  6.420 -4.433 -12.500
5 9 1.3556e+01  7.396 -5.107 61.500  5.906 -4.078 -11.500
9 17 3.1238e+01  13.302 -9.185 50.000  13.610 -9.398 -26.500
17 65 5.8939e+00  26.912 -18.582 23.500  2.568 -1.773 -5.000
65 64 1.2899e+01  29.480 -20.356 18.500  5.620 -3.881 -10.943
1 3 2.2066e+00  0.000 0.000 75.900  0.949 -0.599 -1.900
3 5 1.4517e+01  0.949 -0.599 74.000  6.241 -3.943 -12.500
5 9 1.3356e+01  7.189 -4.543 61.500  5.741 -3.628 -11.500
9 17 3.0776e+01  12.930 -8.171 50.000  13.230 -8.360 -26.500
17 65 5.8068e+00  26.161 -16.531 23.500  2.496 -1.577 -5.000
65 64 1.4989e+01  28.657 -18.109 18.500  6.443 -4.072 -12.906
1 3 1.9719e+00  0.000 0.000 75.900  0.524 0.062 -1.900
3 5 1.2973e+01  0.524 0.062 74.000  3.446 0.410 -12.500
5 9 1.1935e+01  3.970 0.473 61.500  3.170 0.378 -11.500
9 17 2.7502e+01  7.140 0.850 50.000  7.306 0.870 -26.500
17 97 5.1891e+00  14.446 1.720 23.500  1.378 0.164 -5.000
97 64 1.9200e+01  15.825 1.884 18.500  5.100 0.607 -18.500
1 3 8.6724e+00  0.000 0.000 75.900  -8.500 0.842 -1.501
3 5 1.6835e+01  -8.500 0.842 74.399  -16.500 1.634 -2.914
5 1 1.0203e+01  -25.000 2.475 71.485  -10.000 0.990 -1.766
1 3 1.9565e+00  0.000 0.000 75.900  -0.040 -0.465 -1.900
3 5 1.2872e+01  -0.040 -0.465 74.000  -0.261 -3.061 -12.500
5 9 1.1842e+01  -0.301 -3.526 61.500  -0.240 -2.816 -11.500
9 17 2.7289e+01  -0.541 -6.343 50.000  -0.553 -6.490 -26.500
17 97 5.1488e+00  -1.094 -12.832 23.500  -0.104 -1.224 -5.000
97 64 1.9051e+01  -1.199 -14.057 18.500  -0.386 -4.530 -18.500
1 1 2.9216e-01  0.000 0.000 75.900  0.234 0.143 0.100
1 1 1.4793e-01  0.000 0.000 75.900  0.046 -0.099 0.100
1 3 2.4863e+00  0.000 0.000 75.900  -0.611 1.483 -1.900
3 5 1.6357e+01  -0.611 1.483 74.000  -4.020 9.754 -12.500
5 9 1.5049e+01  -4.631 11.237 61.500  -3.699 8.974 -11.500
9 17 2.3124e+01  -8.330 20.211 50.000  -5.683 13.789 -17.671
17 1 1.6769e+00  -14.013 34.000 32.329  -0.412 1.000 -1.281
1 1 1.6726e+01  0.000 0.000 75.900  -12.695 -10.889 0.100
1 1 1.0095e-01  0.000 0.000 75.900  0.010 0.010 0.100
1 1 1.0643e-01  0.000 0.000 75.900  0.017 -0.032 0.100
1 3 2.2426e+00  0.000 0.000 75.900  1.112 0.428 -1.900
3 5 1.4754e+01  1.112 0.428 74.000  7.315 2.813 -12.500
5 9 1.3573e+01  8.427 3.240 61.500  6.730 2.588 -11.500
9 17 3.1278e+01  15.157 5.828 50.000  15.508 5.963 -26.500
17 65 5.9015e+00  30.666 11.791 23.500  2.926 1.125 -5.000
65 64 3.0420e+00  33.592 12.916 18.500  1.508 0.580 -2.577
1 3 8.5666e+00  0.000 0.000 75.900  5.698 6.250 -1.363
3 5 2.5700e+01  5.698 6.250 74.537  17.094 18.750 -4.089
5 1 1.3707e+01  22.792 25.000 70.447  9.117 10.000 -2.181
1 1 2.2080e-01  0.000 0.000 75.900  -0.120 -0.156 0.100
1 1 1.0419e-01  0.000 0.000 75.900  -0.027 -0.012 0.100
1 3 7.2085e+00  0.000 0.000 75.900  3.548 6.250 -0.556
3 1 3.3159e+01  3.548 6.250 75.344  16.323 28.750 -2.555
1 3 1.9921e+00  0.000 0.000 75.900  0.508 -0.317 -1.900
3 5 1.3106e+01  0.508 -0.317 74.000  3.341 -2.087 -12.500
5 9 1.2058e+01  3.849 -2.405 61.500  3.074 -1.920 -11.500
9 17 2.7785e+01  6.923 -4.325 50.000  7.083 -4.425 -26.500
17 97 5.2424e+00  14.006 -8.750 23.500  1.336 -0.835 -5.000
97 64 1.9397e+01  15.342 -9.585 18.500  4.945 -3.089 -18.500
1 1 4.3220e-01  0.000 0.000 75.900  0.374 0.192 0.100
1 3 6.3274e+00  0.000 0.000 75.900  -0.460 -6.250 -0.873
3 5 1.8982e+01  -0.460 -6.250 75.027  -1.379 -18.750 -2.619
5 1 1.0124e+01  -1.839 -25.000 72.407  -0.736 -10.000 -1.397
1 1 1.7844e-01  0.000 0.000 75.900  0.092 -0.116 0.100
1 1 6.8311e-01  0.000 0.000 75.900  -0.557 -0.383 0.100
1 3 2.5700e+00  0.000 0.000 75.900  -1.156 -1.288 -1.900
3 5 1.6908e+01  -1.156 -1.288 74.000  -7.603 -8.475 -12.500
5 9 1.5555e+01  -8.759 -9.763 61.500  -6.995 -7.797 -11.500
9 17 3.2798e+01  -15.754 -17.560 50.000  -14.749 -16.440 -24.248
17 1 1.9951e+00  -30.502 -34.000 25.752  -0.897 -1.000 -1.475
1 1 9.4709e-01  0.000 0.000 75.900  0.832 -0.441 0.100
1 1 1.2049e-01  0.000 0.000 75.900  0.067 0.007 0.100
1 3 3.4245e+00  0.000 0.000 75.900  -0.996 2.669 -1.900
3 5 2.2529e+01  -0.996 2.669 74.000  -6.556 17.560 -12.500
5 1 1.8951e+01  -7.552 20.229 61.500  -5.515 14.771 -10.515
1 1 1.1409e-01  0.000 0.000 75.900  -0.033 -0.044 0.100
1 1 6.5795e-01  0.000 0.000 75.900  0.546 -0.354 0.100
1 3 3.8853e+00  0.000 0.000 75.900  0.614 3.333 -1.900
3 5 2.5258e+01  0.614 3.333 74.000  3.993 21.667 -12.352
5 1 1.1657e+01  4.607 25.000 61.648  1.843 10.000 -5.701
1 3 5.6230e+00  0.000 0.000 75.900  -1.361 -5.114 -1.900
3 5 2.1863e+01  -1.361 -5.114 74.000  -5.290 -19.886 -7.387
5 1 1.0994e+01  -6.651 -25.000 66.613  -2.660 -10.000 -3.715
1 1 1.9897e+01  0.000 0.000 75.900  12.029 -15.849 0.100
1 3 1.0525e+01  0.000 0.000 75.900  -8.500 5.984 -1.648
3 5 2.0431e+01  -8.500 5.984 74.252  -16.500 11.617 -3.199
5 1 1.2383e+01  -25.000 17.601 71.053  -10.000 7.041 -1.939
1 3 4.2238e+00  0.000 0.000 75.900  3.604 1.114 -1.900
3 5 2.5075e+01  3.604 1.114 74.000  21.396 6.613 -11.279
5 1 1.1719e+01  25.000 7.727 62.721  10.000 3.091 -5.272
1 1 1.5526e-01  0.000 0.000 75.900  -0.059 0.103 0.100
1 3 3.2329e+00  0.000 0.000 75.900  0.616 2.542 -1.900
3 5 2.1269e+01  0.616 2.542 74.000  4.051 16.724 -12.500
5 1 2.0009e+01  4.667 19.266 61.500  3.811 15.734 -11.759
1 1 2.9860e+00  0.000 0.000 75.900  1.496 2.583 0.100
1 1 8.3779e-01  0.000 0.000 75.900  -0.229 -0.800 0.100
1 1 1.6070e-01  0.000 0.000 75.900  -0.107 -0.066 0.100
1 3 6.7059e+00  0.000 0.000 75.900  -2.818 5.781 -1.900
3 5 2.2295e+01  -2.818 5.781 74.000  -9.369 19.219 -6.317
5 1 1.1600e+01  -12.187 25.000 67.683  -4.875 10.000 -3.287
1 1 1.2686e-01  0.000 0.000 75.900  -0.016 0.076 0.100
1 3 2.6448e+00  0.000 0.000 75.900  -0.315 1.813 -1.900
3 5 1.7400e+01  -0.315 1.813 74.000  -2.075 11.925 -12.500
5 9 1.4973e+01  -2.390 13.738 61.500  -1.786 10.262 -10.756
9 17 1.4591e+01  -4.176 24.000 50.744  -1.740 10.000 -10.482
17 1 1.4591e+00  -5.916 34.000 40.262  -0.174 1.000 -1.048
1 1 2.9406e-01  0.000 0.000 75.900  -0.143 0.237 0.100
1 3 6.7749e+00  0.000 0.000 75.900  -2.368 6.250 -1.108
3 5 2.0325e+01  -2.368 6.250 74.792  -7.105 18.750 -3.323
5 1 1.0840e+01  -9.473 25.000 71.469  -3.789 10.000 -1.772
1 1 3.0196e-01  0.000 0.000 75.900  -0.105 0.265 0.100
1 3 9.1719e+00  0.000 0.000 75.900  -8.500 -3.100 -1.504
3 5 1.7804e+01  -8.500 -3.100 74.396  -16.500 -6.018 -2.920
5 1 1.0790e+01  -25.000 -9.117 71.475  -10.000 -3.647 -1.770
1 1 1.0827e-01  0.000 0.000 75.900  -0.041 0.003 0.100
1 1 3.0108e+00  0.000 0.000 75.900  2.634 -1.456 0.100
1 1 1.1578e-01  0.000 0.000 75.900  0.023 0.054 0.100
1 1 4.5833e-01  0.000 0.000 75.900  -0.294 0.338 0.100
1 3 3.1916e+00  0.000 0.000 75.900  -2.339 -1.051 -1.900
3 5 2.0997e+01  -2.339 -1.051 74.000  -15.388 -6.917 -12.500
5 1 2.3570e+01  -17.727 -7.969 61.500  -17.273 -7.765 -14.032
1 3 2.3240e+00  0.000 0.000 75.900  1.330 -0.151 -1.900
3 5 1.5290e+01  1.330 -0.151 74.000  8.749 -0.993 -12.500
5 9 1.4067e+01  10.079 -1.144 61.500  8.049 -0.914 -11.500
9 17 2.7740e+01  18.127 -2.058 50.000  15.873 -1.802 -22.679
17 1 1.7477e+00  34.000 -3.860 27.321  1.000 -0.114 -1.429
1 3 3.5241e+00  0.000 0.000 75.900  -1.433 -2.599 -1.900
3 5 2.3185e+01  -1.433 -2.599 74.000  -9.427 -17.101 -12.500
5 1 2.0743e+01  -10.859 -19.700 61.500  -8.434 -15.300 -11.183
1 3 3.3798e+00  0.000 0.000 75.900  -1.752 2.178 -1.900
3 5 2.2235e+01  -1.752 2.178 74.000  -11.528 14.327 -12.500
5 9 1.1633e+01  -13.281 16.505 61.500  -6.031 7.495 -6.540
9 1 1.7072e+01  -19.312 24.000 54.960  -8.851 11.000 -9.597
1 1 1.0661e-01  0.000 0.000 75.900  -0.019 0.032 0.100
1 1 1.4713e-01  0.000 0.000 75.900  0.041 -0.100 0.100
1 3 3.0094e+00  0.000 0.000 75.900  1.585 -1.713 -1.900
3 5 1.9799e+01  1.585 -1.713 74.000  10.429 -11.268 -12.500
5 9 1.8215e+01  12.014 -12.981 61.500  9.594 -10.367 -11.500
9 17 1.8715e+01  21.608 -23.348 50.000  9.858 -10.652 -11.816
17 1 1.7570e+00  31.466 -34.000 38.184  0.925 -1.000 -1.109
1 1 3.5919e-01  0.000 0.000 75.900  -0.271 -0.213 0.100
1 1 2.9737e-01  0.000 0.000 75.900  -0.220 -0.173 0.100
1 1 4.0212e-01  0.000 0.000 75.900  0.359 0.151 0.100
1 3 4.1438e+00  0.000 0.000 75.900  2.912 -2.254 -1.900
3 5 2.7262e+01  2.912 -2.254 74.000  19.159 -14.828 -12.500
5 1 1.8397e+01  22.071 -17.082 61.500  12.929 -10.006 -8.435
1 3 2.0344e+00  0.000 0.000 75.900  0.035 -0.726 -1.900
3 5 1.3384e+01  0.035 -0.726 74.000  0.232 -4.779 -12.500
5 9 1.2314e+01  0.267 -5.505 61.500  0.213 -4.396 -11.500
9 17 2.8375e+01  0.480 -9.901 50.000  0.491 -10.131 -26.500
17 97 5.3537e+00  0.971 -20.032 23.500  0.093 -1.911 -5.000
97 64 1.9809e+01  1.064 -21.943 18.500  0.343 -7.072 -18.500
1 3 2.4424e+00  0.000 0.000 75.900  0.467 -1.462 -1.900
3 5 1.6068e+01  0.467 -1.462 74.000  3.070 -9.618 -12.500
5 9 1.4783e+01  3.537 -11.080 61.500  2.825 -8.849 -11.500
9 17 2.3506e+01  6.362 -19.929 50.000  4.491 -14.071 -18.286
17 1 1.6706e+00  10.853 -34.000 31.714  0.319 -1.000 -1.300
1 3 2.5038e+00  0.000 0.000 75.900  1.601 -0.309 -1.900
3 5 1.6473e+01  1.601 -0.309 74.000  10.534 -2.031 -12.500
5 9 1.5155e+01  12.135 -2.340 61.500  9.691 -1.868 -11.500
9 17 1.9035e+01  21.827 -4.208 50.000  12.173 -2.347 -14.445
17 1 1.5637e+00  34.000 -6.555 35.555  1.000 -0.193 -1.187
1 1 4.7667e-01  0.000 0.000 75.900  -0.121 -0.450 0.100
1 1 1.0698e-01  0.000 0.000 75.900  -0.026 0.028 0.100
1 1 1.6832e-01  0.000 0.000 75.900  0.005 0.135 0.100
1 1 1.1409e-01  0.000 0.000 75.900  -0.046 -0.030 0.100
1 1 1.3684e-01  0.000 0.000 75.900  0.042 -0.083 0.100
1 1 2.9486e-01  0.000 0.000 75.900  -0.215 -0.176 0.100
1 3 4.2481e+00  0.000 0.000 75.900  -2.511 2.852 -1.900
3 5 2.7948e+01  -2.511 2.852 74.000  -16.519 18.761 -12.500
5 1 1.9943e+01  -19.030 21.613 61.500  -11.787 13.387 -8.920
1 3 6.5528e+00  0.000 0.000 75.900  -1.682 -6.250 -1.023
3 5 1.9658e+01  -1.682 -6.250 74.877  -5.047 -18.750 -3.070
5 1 1.0485e+01  -6.729 -25.000 71.807  -2.692 -10.000 -1.637
1 1 1.0314e-01  0.000 0.000 75.900  0.025 -0.001 0.100
1 1 2.3867e-01  0.000 0.000 75.900  0.039 -0.213 0.100
1 3 3.2568e+00  0.000 0.000 75.900  -0.883 2.493 -1.900
3 5 2.1426e+01  -0.883 2.493 74.000  -5.812 16.403 -12.500
5 1 2.1036e+01  -6.696 18.896 61.500  -5.706 16.104 -12.273
1 3 1.9922e+00  0.000 0.000 75.900  -0.522 -0.293 -1.900
3 5 1.3107e+01  -0.522 -0.293 74.000  -3.437 -1.928 -12.500
5 9 1.2058e+01  -3.959 -2.221 61.500  -3.162 -1.774 -11.500
9 17 2.7786e+01  -7.122 -3.996 50.000  -7.286 -4.088 -26.500
17 97 5.2426e+00  -14.408 -8.084 23.500  -1.375 -0.771 -5.000
97 64 1.9398e+01  -15.783 -8.855 18.500  -5.087 -2.854 -18.500
1 1 3.1425e-01  0.000 0.000 75.900  0.113 0.276 0.100
1 3 6.7198e+00  0.000 0.000 75.900  -2.322 6.250 -0.836
3 5 2.0159e+01  -2.322 6.250 75.064  -6.967 18.750 -2.509
5 1 1.0752e+01  -9.290 25.000 72.555  -3.716 10.000 -1.338
1 1 5.3485e-01  0.000 0.000 75.900  0.409 0.330 0.100
1 1 1.5655e+00  0.000 0.000 75.900  1.549 -0.200 0.100
1 1 2.7715e-01  0.000 0.000 75.900  0.255 0.039 0.100
1 1 1.0099e-01  0.000 0.000 75.900  0.003 0.014 0.100
1 1 2.5911e-01  0.000 0.000 75.900  0.105 -0.215 0.100
1 3 3.4688e+00  0.000 0.000 75.900  -2.775 0.851 -1.900
3 5 2.2821e+01  -2.775 0.851 74.000  -18.254 5.598 -12.500
5 1 1.7467e+01  -21.028 6.449 61.500  -13.972 4.285 -9.568
1 1 1.2423e-01  0.000 0.000 75.900  0.054 0.050 0.100
1 3 2.3340e+00  0.000 0.000 75.900  1.352 -0.102 -1.900
3 5 1.5355e+01  1.352 -0.102 74.000  8.892 -0.674 -12.500
5 9 1.4127e+01  10.244 -0.776 61.500  8.181 -0.620 -11.500
9 17 2.6894e+01  18.425 -1.396 50.000  15.575 -1.180 -21.893
17 1 1.7268e+00  34.000 -2.577 28.107  1.000 -0.076 -1.406
1 3 7.4016e+00  0.000 0.000 75.900  -3.937 -6.250 -0.473
3 1 3.4047e+01  -3.937 -6.250 75.427  -18.108 -28.750 -2.178
1 1 1.0944e-01  0.000 0.000 75.900  -0.022 0.039 0.100
1 3 2.3174e+00  0.000 0.000 75.900  -0.696 1.130 -1.900
3 5 1.5246e+01  -0.696 1.130 74.000  -4.577 7.433 -12.500
5 9 1.4027e+01  -5.273 8.563 61.500  -4.211 6.838 -11.500
9 17 3.2322e+01  -9.484 15.401 50.000  -9.704 15.758 -26.500
17 65 6.0985e+00  -19.187 31.159 23.500  -1.831 2.973 -5.000
65 64 1.9847e+00  -21.018 34.132 18.500  -0.596 0.968 -1.627
1 3 2.6924e+00  0.000 0.000 75.900  1.303 1.393 -1.900
3 5 1.7713e+01  1.303 1.393 74.000  8.574 9.164 -12.500
5 9 1.6296e+01  9.878 10.557 61.500  7.889 8.431 -11.500
9 17 2.9014e+01  17.766 18.989 50.000  14.045 15.011 -20.475
17 1 1.9328e+00  31.811 34.000 29.525  0.936 1.000 -1.364
1 3 2.7356e+00  0.000 0.000 75.900  1.689 1.010 -1.900
3 5 1.7997e+01  1.689 1.010 74.000  11.114 6.643 -12.500
5 9 1.6557e+01  12.803 7.653 61.500  10.225 6.112 -11.500
9 17 1.7768e+01  23.028 13.765 50.000  10.972 6.558 -12.340
17 1 1.6193e+00  34.000 20.323 37.660  1.000 0.598 -1.125
1 1 3.1479e-01  0.000 0.000 75.900  0.056 -0.293 0.100
1 3 8.2777e+00  0.000 0.000 75.900  -5.188 -6.250 -1.596
3 3 1.1763e-15  -5.188 -6.250 74.304  -0.000 -0.000 -0.000
3 5 2.4833e+01  -5.188 -6.250 74.304  -15.563 -18.750 -4.787
5 1 1.3244e+01  -20.751 -25.000 69.518  -8.300 -10.000 -2.553
1 3 2.0731e+00  0.000 0.000 75.900  0.735 -0.384 -1.900
3 5 1.3639e+01  0.735 -0.384 74.000  4.836 -2.525 -12.500
5 9 1.2548e+01  5.571 -2.909 61.500  4.449 -2.323 -11.500
9 17 2.8914e+01  10.021 -5.231 50.000  10.253 -5.353 -26.500
17 97 5.4555e+00  20.273 -10.584 23.500  1.934 -1.010 -5.000
97 64 2.0185e+01  22.208 -11.594 18.500  7.158 -3.737 -18.500
1 3 4.0555e+00  0.000 0.000 75.900  -1.567 -3.222 -1.900
3 5 2.6681e+01  -1.567 -3.222 74.000  -10.306 -21.199 -12.500
5 1 1.3314e+01  -11.873 -24.421 61.500  -5.143 -10.579 -6.238
1 3 6.9918e+00  0.000 0.000 75.900  -6.455 -1.899 -1.900
3 5 2.0086e+01  -6.455 -1.899 74.000  -18.545 -5.455 -5.458
5 1 1.0831e+01  -25.000 -7.354 68.542  -10.000 -2.942 -2.943
1 1 1.9324e-01  0.000 0.000 75.900  0.159 0.044 0.100
1 3 5.7831e+00  0.000 0.000 75.900  4.882 2.450 -1.900
3 5 2.3834e+01  4.882 2.450 74.000  20.118 10.099 -7.830
5 1 1.1847e+01  25.000 12.549 66.170  10.000 5.020 -3.892
1 3 2.0821e+00  0.000 0.000 75.900  0.734 0.431 -1.900
3 5 1.3698e+01  0.734 0.431 74.000  4.829 2.838 -12.500
5 9 1.2602e+01  5.563 3.269 61.500  4.443 2.611 -11.500
9 17 2.9039e+01  10.007 5.880 50.000  10.238 6.017 -26.500
17 97 5.4791e+00  20.245 11.897 23.500  1.932 1.135 -5.000
97 64 2.0273e+01  22.177 13.032 18.500  7.148 4.200 -18.500
1 1 3.3960e-01  0.000 0.000 75.900  -0.321 -0.047 0.100
1 1 1.3525e-01  0.000 0.000 75.900  -0.034 0.084 0.100
1 3 2.0493e+00  0.000 0.000 75.900  -0.741 -0.200 -1.900
3 5 1.3482e+01  -0.741 -0.200 74.000  -4.877 -1.319 -12.500
5 9 1.2404e+01  -5.618 -1.519 61.500  -4.487 -1.213 -11.500
9 17 2.8583e+01  -10.105 -2.732 50.000  -10.339 -2.795 -26.500
17 97 5.3929e+00  -20.445 -5.527 23.500  -1.951 -0.527 -5.000
97 64 1.9954e+01  -22.395 -6.055 18.500  -7.218 -1.951 -18.500
1 1 2.6686e-01  0.000 0.000 75.900  -0.216 0.121 0.100
1 3 2.2173e+00  0.000 0.000 75.900  0.697 0.906 -1.900
3 5 1.4588e+01  0.697 0.906 74.000  4.586 5.960 -12.500
5 9 1.3421e+01  5.283 6.866 61.500  4.219 5.484 -11.500
9 17 3.0926e+01  9.501 12.350 50.000  9.721 12.636 -26.500
17 65 5.8351e+00  19.223 24.986 23.500  1.834 2.384 -5.000
65 64 1.8919e+01  21.057 27.370 18.500  5.947 7.730 -16.211
1 3 6.5652e+00  0.000 0.000 75.900  1.849 6.250 -0.788
3 5 1.9696e+01  1.849 6.250 75.112  5.548 18.750 -2.363
